Invoice,Customer ID,StockCode,InvoiceDate,Quantity,Price,LineTotal,Categoria
489434,13085,85048,2009-12-01 07:45:00,12,6.95,83.4,Venta
489434,13085,79323P,2009-12-01 07:45:00,12,6.75,81.0,Venta
489434,13085,79323W,2009-12-01 07:45:00,12,6.75,81.0,Venta
489434,13085,22041,2009-12-01 07:45:00,48,2.1,100.8,Venta
489434,13085,21232,2009-12-01 07:45:00,24,1.25,30.0,Venta
489434,13085,22064,2009-12-01 07:45:00,24,1.65,39.6,Venta
489434,13085,21871,2009-12-01 07:45:00,24,1.25,30.0,Venta
489434,13085,21523,2009-12-01 07:45:00,10,5.95,59.5,Venta
489435,13085,22350,2009-12-01 07:46:00,12,2.55,30.6,Venta
489435,13085,22349,2009-12-01 07:46:00,12,3.75,45.0,Venta
489435,13085,22195,2009-12-01 07:46:00,24,1.65,39.6,Venta
489435,13085,22353,2009-12-01 07:46:00,12,2.55,30.6,Venta
489436,13078,48173C,2009-12-01 09:06:00,10,5.95,59.5,Venta
489436,13078,21755,2009-12-01 09:06:00,18,5.45,98.1,Venta
489436,13078,21754,2009-12-01 09:06:00,3,5.95,17.85,Venta
489436,13078,84879,2009-12-01 09:06:00,16,1.69,27.04,Venta
489436,13078,22119,2009-12-01 09:06:00,3,6.95,20.85,Venta
489436,13078,22142,2009-12-01 09:06:00,12,1.45,17.4,Venta
489436,13078,22296,2009-12-01 09:06:00,12,1.65,19.8,Venta
489436,13078,22295,2009-12-01 09:06:00,12,1.65,19.8,Venta
489436,13078,22109,2009-12-01 09:06:00,16,3.39,54.24,Venta
489436,13078,22107,2009-12-01 09:06:00,4,3.75,15.0,Venta
489436,13078,22194,2009-12-01 09:06:00,2,8.5,17.0,Venta
489436,13078,35004B,2009-12-01 09:06:00,12,4.65,55.8,Venta
489436,13078,82582,2009-12-01 09:06:00,12,2.1,25.200000000000003,Venta
489436,13078,21181,2009-12-01 09:06:00,12,2.1,25.200000000000003,Venta
489436,13078,21756,2009-12-01 09:06:00,3,5.95,17.85,Venta
489436,13078,21333,2009-12-01 09:06:00,6,2.95,17.700000000000003,Venta
489436,13078,84596F,2009-12-01 09:06:00,8,1.25,10.0,Venta
489436,13078,84596L,2009-12-01 09:06:00,8,1.25,10.0,Venta
489436,13078,22111,2009-12-01 09:06:00,24,4.25,102.0,Venta
489437,15362,22143,2009-12-01 09:08:00,6,2.1,12.6,Venta
489437,15362,22145,2009-12-01 09:08:00,6,2.1,12.6,Venta
489437,15362,22130,2009-12-01 09:08:00,12,0.85,10.2,Venta
489437,15362,21364,2009-12-01 09:08:00,2,6.75,13.5,Venta
489437,15362,21360,2009-12-01 09:08:00,1,9.95,9.95,Venta
489437,15362,21351,2009-12-01 09:08:00,2,6.75,13.5,Venta
489437,15362,21352,2009-12-01 09:08:00,2,6.75,13.5,Venta
489437,15362,35400,2009-12-01 09:08:00,2,8.95,17.9,Venta
489437,15362,20695,2009-12-01 09:08:00,3,4.25,12.75,Venta
489437,15362,37370,2009-12-01 09:08:00,12,1.25,15.0,Venta
489437,15362,10002,2009-12-01 09:08:00,12,0.85,10.2,Venta
489437,15362,84507B,2009-12-01 09:08:00,6,2.55,15.3,Venta
489437,15362,20703,2009-12-01 09:08:00,3,4.25,12.75,Venta
489437,15362,21987,2009-12-01 09:08:00,12,0.65,7.800000000000001,Venta
489437,15362,21989,2009-12-01 09:08:00,12,0.85,10.2,Venta
489437,15362,84970S,2009-12-01 09:08:00,12,0.85,10.2,Venta
489437,15362,20971,2009-12-01 09:08:00,12,1.25,15.0,Venta
489437,15362,22271,2009-12-01 09:08:00,6,2.95,17.700000000000003,Venta
489437,15362,22272,2009-12-01 09:08:00,6,2.95,17.700000000000003,Venta
489437,15362,22274,2009-12-01 09:08:00,6,2.95,17.700000000000003,Venta
489437,15362,21912,2009-12-01 09:08:00,4,3.75,15.0,Venta
489437,15362,22111,2009-12-01 09:08:00,3,4.95,14.85,Venta
489437,15362,22112,2009-12-01 09:08:00,3,4.95,14.85,Venta
489438,18102,21329,2009-12-01 09:24:00,28,0.98,27.44,Venta
489438,18102,21252,2009-12-01 09:24:00,30,1.69,50.7,Venta
489438,18102,21100,2009-12-01 09:24:00,30,1.15,34.5,Venta
489438,18102,21033,2009-12-01 09:24:00,30,2.0,60.0,Venta
489438,18102,20711,2009-12-01 09:24:00,60,1.3,78.0,Venta
489438,18102,21410,2009-12-01 09:24:00,32,2.5,80.0,Venta
489438,18102,21411,2009-12-01 09:24:00,32,2.5,80.0,Venta
489438,18102,84031A,2009-12-01 09:24:00,56,3.0,168.0,Venta
489438,18102,84031B,2009-12-01 09:24:00,56,3.0,168.0,Venta
489438,18102,84032A,2009-12-01 09:24:00,60,1.9,114.0,Venta
489438,18102,84032B,2009-12-01 09:24:00,56,1.9,106.4,Venta
489438,18102,84519A,2009-12-01 09:24:00,56,2.15,120.4,Venta
489438,18102,84519B,2009-12-01 09:24:00,60,2.4,144.0,Venta
489438,18102,85132A,2009-12-01 09:24:00,60,6.38,382.8,Venta
489438,18102,85132C,2009-12-01 09:24:00,60,6.4,384.0,Venta
489438,18102,85183A,2009-12-01 09:24:00,60,2.4,144.0,Venta
489438,18102,85183B,2009-12-01 09:24:00,60,2.4,144.0,Venta
489439,12682,22065,2009-12-01 09:28:00,12,1.45,17.4,Venta
489439,12682,22138,2009-12-01 09:28:00,9,4.95,44.55,Venta
489439,12682,22139,2009-12-01 09:28:00,9,4.95,44.55,Venta
489439,12682,22352,2009-12-01 09:28:00,12,2.55,30.6,Venta
489439,12682,85014A,2009-12-01 09:28:00,3,5.95,17.85,Venta
489439,12682,85014B,2009-12-01 09:28:00,3,5.95,17.85,Venta
489439,12682,16161P,2009-12-01 09:28:00,25,0.42,10.5,Venta
489439,12682,16169N,2009-12-01 09:28:00,25,0.42,10.5,Venta
489439,12682,21491,2009-12-01 09:28:00,6,1.95,11.7,Venta
489439,12682,22333,2009-12-01 09:28:00,8,1.65,13.2,Venta
489439,12682,85216,2009-12-01 09:28:00,12,0.65,7.800000000000001,Venta
489439,12682,21493,2009-12-01 09:28:00,12,0.85,10.2,Venta
489439,12682,22130,2009-12-01 09:28:00,24,0.85,20.4,Venta
489439,12682,22064,2009-12-01 09:28:00,12,1.65,19.8,Venta
489439,12682,21731,2009-12-01 09:28:00,24,1.65,39.6,Venta
489439,12682,85232B,2009-12-01 09:28:00,6,4.95,29.700000000000003,Venta
489439,12682,84691,2009-12-01 09:28:00,12,0.85,10.2,Venta
489439,12682,20749,2009-12-01 09:28:00,2,7.95,15.9,Venta
489439,12682,POST,2009-12-01 09:28:00,3,18.0,54.0,Venta
489440,18087,22350,2009-12-01 09:43:00,8,2.55,20.4,Venta
489440,18087,22349,2009-12-01 09:43:00,8,3.75,30.0,Venta
489441,18087,22321,2009-12-01 09:44:00,12,0.72,8.64,Venta
489441,18087,22138,2009-12-01 09:44:00,6,4.25,25.5,Venta
489441,18087,84029E,2009-12-01 09:44:00,36,2.95,106.2,Venta
489441,18087,22111,2009-12-01 09:44:00,48,4.25,204.0,Venta
489442,13635,21955,2009-12-01 09:46:00,2,6.75,13.5,Venta
489442,13635,22111,2009-12-01 09:46:00,3,4.95,14.85,Venta
489442,13635,22296,2009-12-01 09:46:00,12,1.65,19.8,Venta
489442,13635,84899E,2009-12-01 09:46:00,12,1.25,15.0,Venta
